
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-15 14:25:18 / ................................................ ~ 1s
  2026-05-15 14:25:19 /build/assets/app-DZ9sr4UU.css ............... ~ 0.12ms
  2026-05-15 14:25:19 /build/assets/app-D7wrQ6zr.css ............... ~ 0.24ms
  2026-05-15 14:25:19 /build/assets/app-BWJ1sAtU.js ................ ~ 0.38ms
  2026-05-15 14:26:24 / ............................................ ~ 0.19ms
  2026-05-15 14:26:48 / ............................................ ~ 0.13ms
  2026-05-15 14:26:48 /build/assets/app-DZ9sr4UU.css ............... ~ 0.04ms
  2026-05-15 14:26:48 /build/assets/app-D7wrQ6zr.css ............... ~ 0.04ms
  2026-05-15 14:26:48 /build/assets/app-BWJ1sAtU.js ................ ~ 0.26ms
  2026-05-15 14:27:12 / ............................................ ~ 0.13ms
  2026-05-15 14:27:12 /build/assets/app-DZ9sr4UU.css ............... ~ 0.07ms
  2026-05-15 14:27:12 /build/assets/app-D7wrQ6zr.css ............... ~ 0.21ms
  2026-05-15 14:27:12 /build/assets/app-BWJ1sAtU.js ................ ~ 0.36ms
  2026-05-15 14:28:05 / .......................................... ~ 500.55ms
  2026-05-15 14:29:00 / ............................................ ~ 0.16ms
  2026-05-15 14:29:52 / ............................................ ~ 0.13ms
  2026-05-15 14:30:10 / ............................................ ~ 0.11ms
  2026-05-15 14:30:10 /build/assets/app-DZ9sr4UU.css ............... ~ 0.06ms
  2026-05-15 14:30:10 /build/assets/app-D7wrQ6zr.css ............... ~ 0.21ms
  2026-05-15 14:30:10 /build/assets/app-BWJ1sAtU.js ................ ~ 0.35ms
  2026-05-15 14:30:36 / .......................................... ~ 500.61ms
  2026-05-15 14:30:36 /build/assets/app-DZ9sr4UU.css ............... ~ 0.08ms
  2026-05-15 14:30:36 /build/assets/app-D7wrQ6zr.css ............... ~ 0.23ms
  2026-05-15 14:30:36 /build/assets/app-BWJ1sAtU.js ................ ~ 0.38ms
